target_num,target_is_prime,target_str,target_factor_list,pred_str,beam_idx,log_prob,n_target_factors,pred_factor_list,n_pred_factors,product,correct_product,correct_factorization,num_prime_factors_pred,percent_prime_factors_pred
179,True,>10110011.,[179],>11x1110101,1,-2.12276291847229,1,"[3, 117]",2,351.0,False,False,1.0,0.5
186,False,>10x11x11111.,"[2, 3, 31]",>10x1011101,0,-0.9165317416191101,3,"[2, 93]",2,186.0,True,False,1.0,0.5
186,False,>10x11x11111.,"[2, 3, 31]",>10x11x11111,1,-1.7902876138687134,3,"[2, 3, 31]",3,186.0,True,True,3.0,1.0
195,False,>11x101x1101.,"[3, 5, 13]",>11000011,0,-1.1967090368270874,3,[195],1,195.0,True,False,0.0,0.0
195,False,>11x101x1101.,"[3, 5, 13]",>11x1000001,1,-2.2092928886413574,3,"[3, 65]",2,195.0,True,False,1.0,0.5
211,True,>11010011.,[211],>11010011,0,-1.131950855255127,1,[211],1,211.0,True,True,1.0,1.0
211,True,>11010011.,[211],>11x10001101,1,-2.4097132682800293,1,"[3, 141]",2,423.0,False,False,1.0,0.5
212,False,>10x10x110101.,"[2, 2, 53]",>10x10x110101,0,-0.942156195640564,3,"[2, 2, 53]",3,212.0,True,True,3.0,1.0
212,False,>10x10x110101.,"[2, 2, 53]",>10x10x11x10001,1,-2.3334953784942627,3,"[2, 2, 3, 17]",4,204.0,False,False,4.0,1.0
221,False,>1101x10001.,"[13, 17]",>11011101,0,-1.1609864234924316,2,[221],1,221.0,True,False,0.0,0.0
221,False,>1101x10001.,"[13, 17]",>11x1001001,1,-2.066348075866699,2,"[3, 73]",2,219.0,False,False,2.0,1.0
223,True,>11011111.,[223],>11011111,0,-1.1192514896392822,1,[223],1,223.0,True,True,1.0,1.0
223,True,>11011111.,[223],>11x10010101,1,-1.937781572341919,1,"[3, 149]",2,447.0,False,False,2.0,1.0
227,True,>11100011.,[227],>11100011,0,-1.0697418451309204,1,[227],1,227.0,True,True,1.0,1.0
227,True,>11100011.,[227],>11x10010101,1,-2.7117247581481934,1,"[3, 149]",2,447.0,False,False,2.0,1.0
230,False,>10x101x10111.,"[2, 5, 23]",>10x1110011,0,-0.9486597776412964,3,"[2, 115]",2,230.0,True,False,1.0,0.5
230,False,>10x101x10111.,"[2, 5, 23]",>10x11x1001101,1,-2.291750907897949,3,"[2, 3, 77]",3,462.0,False,False,2.0,0.6666666666666666
242,False,>10x1011x1011.,"[2, 11, 11]",>10x1111001,0,-0.9571290016174316,3,"[2, 121]",2,242.0,True,False,1.0,0.5
242,False,>10x1011x1011.,"[2, 11, 11]",>10x11x101001,1,-2.0266175270080566,3,"[2, 3, 41]",3,246.0,False,False,3.0,1.0
253,False,>1011x10111.,"[11, 23]",>11111101,0,-1.1384458541870117,2,[253],1,253.0,True,False,0.0,0.0
253,False,>1011x10111.,"[11, 23]",>11x1010101,1,-2.5173773765563965,2,"[3, 85]",2,255.0,False,False,1.0,0.5
256,False,>10x10x10x10x10x10x10x10.,"[2, 2, 2, 2, 2, 2, 2, 2]",>10x10x10x10x10x10x10x10,0,-0.5428224802017212,8,"[2, 2, 2, 2, 2, 2, 2, 2]",8,256.0,True,True,8.0,1.0
256,False,>10x10x10x10x10x10x10x10.,"[2, 2, 2, 2, 2, 2, 2, 2]",>10x10x10x10x10x10x10,1,-1.6366629600524902,8,"[2, 2, 2, 2, 2, 2, 2]",7,128.0,False,False,7.0,1.0
260,False,>10x10x101x1101.,"[2, 2, 5, 13]",>10x10x1000001,0,-0.8834204077720642,4,"[2, 2, 65]",3,260.0,True,False,2.0,0.6666666666666666
260,False,>10x10x101x1101.,"[2, 2, 5, 13]",>10x10x11x10101,1,-1.694595456123352,4,"[2, 2, 3, 21]",4,252.0,False,False,3.0,0.75
265,False,>101x110101.,"[5, 53]",>100001001,0,-1.1384791135787964,2,[265],1,265.0,True,False,0.0,0.0
265,False,>101x110101.,"[5, 53]",>11x1011011,1,-2.3958024978637695,2,"[3, 91]",2,273.0,False,False,1.0,0.5
272,False,>10x10x10x10x10001.,"[2, 2, 2, 2, 17]",>10x10x10x10x10001,0,-0.5617862939834595,5,"[2, 2, 2, 2, 17]",5,272.0,True,True,5.0,1.0
272,False,>10x10x10x10x10001.,"[2, 2, 2, 2, 17]",>10x10x10x10x11x101,1,-1.5247117280960083,5,"[2, 2, 2, 2, 3, 5]",6,240.0,False,False,6.0,1.0
273,False,>11x111x1101.,"[3, 7, 13]",>100010001,0,-1.1266907453536987,3,[273],1,273.0,True,False,0.0,0.0
273,False,>11x111x1101.,"[3, 7, 13]",>11x1011011,1,-2.1853740215301514,3,"[3, 91]",2,273.0,True,False,1.0,0.5
275,False,>101x101x1011.,"[5, 5, 11]",>100010011,0,-1.1059294939041138,3,[275],1,275.0,True,False,0.0,0.0
275,False,>101x101x1011.,"[5, 5, 11]",>11x10110101,1,-2.9048731327056885,3,"[3, 181]",2,543.0,False,False,2.0,1.0
277,True,>100010101.,[277],>100010101,0,-1.104260802268982,1,[277],1,277.0,True,True,1.0,1.0
277,True,>100010101.,[277],>11x1011111,1,-2.6107611656188965,1,"[3, 95]",2,285.0,False,False,1.0,0.5
278,False,>10x10001011.,"[2, 139]",>10x10001011,0,-0.9914440512657166,2,"[2, 139]",2,278.0,True,True,2.0,1.0
278,False,>10x10001011.,"[2, 139]",>10x11x1011101,1,-2.0666072368621826,2,"[2, 3, 93]",3,558.0,False,False,2.0,0.6666666666666666
281,True,>100011001.,[281],>100011001,0,-1.1135406494140625,1,[281],1,281.0,True,True,1.0,1.0
281,True,>100011001.,[281],>11x11x11x1011,1,-3.451584815979004,1,"[3, 3, 3, 11]",4,297.0,False,False,4.0,1.0
283,True,>100011011.,[283],>100011011,0,-1.0819066762924194,1,[283],1,283.0,True,True,1.0,1.0
283,True,>100011011.,[283],>11x11x11x1011,1,-3.542637586593628,1,"[3, 3, 3, 11]",4,297.0,False,False,4.0,1.0
288,False,>10x10x10x10x10x11x11.,"[2, 2, 2, 2, 2, 3, 3]",>10x10x10x10x10x1001,0,-0.43578869104385376,7,"[2, 2, 2, 2, 2, 9]",6,288.0,True,False,5.0,0.8333333333333334
288,False,>10x10x10x10x10x11x11.,"[2, 2, 2, 2, 2, 3, 3]",>10x10x10x10x10x11x11,1,-1.5041967630386353,7,"[2, 2, 2, 2, 2, 3, 3]",7,288.0,True,True,7.0,1.0
294,False,>10x11x111x111.,"[2, 3, 7, 7]",>10x10010011,0,-0.9965112805366516,4,"[2, 147]",2,294.0,True,False,1.0,0.5
294,False,>10x11x111x111.,"[2, 3, 7, 7]",>10x11x110001,1,-1.9210400581359863,4,"[2, 3, 49]",3,294.0,True,False,2.0,0.6666666666666666
299,False,>1101x10111.,"[13, 23]",>100101011,0,-1.1160835027694702,2,[299],1,299.0,True,False,0.0,0.0
299,False,>1101x10111.,"[13, 23]",>11x11000101,1,-2.384657382965088,2,"[3, 197]",2,591.0,False,False,2.0,1.0
300,False,>10x10x11x101x101.,"[2, 2, 3, 5, 5]",>10x10x1001011,0,-0.8479499816894531,5,"[2, 2, 75]",3,300.0,True,False,2.0,0.6666666666666666
300,False,>10x10x11x101x101.,"[2, 2, 3, 5, 5]",>10x10x11x11x11x101,1,-3.2418179512023926,5,"[2, 2, 3, 3, 3, 5]",6,540.0,False,False,6.0,1.0
301,False,>111x101011.,"[7, 43]",>100101101,0,-1.1118710041046143,2,[301],1,301.0,True,False,0.0,0.0
301,False,>111x101011.,"[7, 43]",>11x1100111,1,-2.6779110431671143,2,"[3, 103]",2,309.0,False,False,2.0,1.0
302,False,>10x10010111.,"[2, 151]",>10x10010111,0,-0.972957193851471,2,"[2, 151]",2,302.0,True,True,2.0,1.0
302,False,>10x10010111.,"[2, 151]",>10x11x1100101,1,-1.9051063060760498,2,"[2, 3, 101]",3,606.0,False,False,3.0,1.0
320,False,>10x10x10x10x10x10x101.,"[2, 2, 2, 2, 2, 2, 5]",>10x10x10x10x10x10x101,0,-0.1842767596244812,7,"[2, 2, 2, 2, 2, 2, 5]",7,320.0,True,True,7.0,1.0
320,False,>10x10x10x10x10x10x101.,"[2, 2, 2, 2, 2, 2, 5]",>10x10x10x10x10x10x11x11,1,-2.1009020805358887,7,"[2, 2, 2, 2, 2, 2, 3, 3]",8,576.0,False,False,8.0,1.0
351,False,>11x11x11x1101.,"[3, 3, 3, 13]",>101011111,0,-1.056648850440979,4,[351],1,351.0,True,False,0.0,0.0
351,False,>11x11x11x1101.,"[3, 3, 3, 13]",>11x1110101,1,-2.0297186374664307,4,"[3, 117]",2,351.0,True,False,1.0,0.5
361,False,>10011x10011.,"[19, 19]",>101101001,0,-1.036417007446289,2,[361],1,361.0,True,False,0.0,0.0
361,False,>10011x10011.,"[19, 19]",>11x1111011,1,-2.137737989425659,2,"[3, 123]",2,369.0,False,False,1.0,0.5
363,False,>11x1011x1011.,"[3, 11, 11]",>101101011,0,-1.0191372632980347,3,[363],1,363.0,True,False,0.0,0.0
363,False,>11x1011x1011.,"[3, 11, 11]",>11x1111001,1,-1.988556146621704,3,"[3, 121]",2,363.0,True,False,1.0,0.5
366,False,>10x11x111101.,"[2, 3, 61]",>10x10110111,0,-0.9167705774307251,3,"[2, 183]",2,366.0,True,False,1.0,0.5
366,False,>10x11x111101.,"[2, 3, 61]",>10x11x111101,1,-1.7708431482315063,3,"[2, 3, 61]",3,366.0,True,True,3.0,1.0
370,False,>10x101x100101.,"[2, 5, 37]",>10x10111001,0,-0.9789890050888062,3,"[2, 185]",2,370.0,True,False,1.0,0.5
370,False,>10x101x100101.,"[2, 5, 37]",>10x11x111101,1,-1.8857632875442505,3,"[2, 3, 61]",3,366.0,False,False,3.0,1.0
379,True,>101111011.,[379],>101111011,0,-1.0545010566711426,1,[379],1,379.0,True,True,1.0,1.0
379,True,>101111011.,[379],>11x1111111,1,-2.970935106277466,1,"[3, 127]",2,381.0,False,False,2.0,1.0
382,False,>10x10111111.,"[2, 191]",>10x10111111,0,-0.9442347288131714,2,"[2, 191]",2,382.0,True,True,2.0,1.0
382,False,>10x10111111.,"[2, 191]",>10x11x1111101,1,-1.9899500608444214,2,"[2, 3, 125]",3,750.0,False,False,2.0,0.6666666666666666
384,False,>10x10x10x10x10x10x10x11.,"[2, 2, 2, 2, 2, 2, 2, 3]",>10x10x10x10x10x10x10x101,0,-1.3123304843902588,8,"[2, 2, 2, 2, 2, 2, 2, 5]",8,640.0,False,False,8.0,1.0
384,False,>10x10x10x10x10x10x10x11.,"[2, 2, 2, 2, 2, 2, 2, 3]",>10x10x10x10x10x10x1101,1,-1.3590614795684814,8,"[2, 2, 2, 2, 2, 2, 13]",7,832.0,False,False,7.0,1.0
386,False,>10x11000001.,"[2, 193]",>10x11000001,0,-1.0824812650680542,2,"[2, 193]",2,386.0,True,True,2.0,1.0
386,False,>10x11000001.,"[2, 193]",>10x11x1000011,1,-2.2767255306243896,2,"[2, 3, 67]",3,402.0,False,False,3.0,1.0
387,False,>11x11x101011.,"[3, 3, 43]",>110000011,0,-1.2441643476486206,3,[387],1,387.0,True,False,0.0,0.0
387,False,>11x11x101011.,"[3, 3, 43]",>11x10000001,1,-2.2645835876464844,3,"[3, 129]",2,387.0,True,False,1.0,0.5
388,False,>10x10x1100001.,"[2, 2, 97]",>10x10x1100001,0,-0.9853925704956055,3,"[2, 2, 97]",3,388.0,True,True,3.0,1.0
388,False,>10x10x1100001.,"[2, 2, 97]",>10x10x11x100001,1,-1.952002763748169,3,"[2, 2, 3, 33]",4,396.0,False,False,3.0,0.75
395,False,>101x1001111.,"[5, 79]",>110001011,0,-1.2136800289154053,2,[395],1,395.0,True,False,0.0,0.0
395,False,>101x1001111.,"[5, 79]",>11x100000101,1,-2.525148630142212,2,"[3, 261]",2,783.0,False,False,1.0,0.5
397,True,>110001101.,[397],>110001101,0,-1.2110190391540527,1,[397],1,397.0,True,True,1.0,1.0
397,True,>110001101.,[397],>11x10000111,1,-2.3243918418884277,1,"[3, 135]",2,405.0,False,False,1.0,0.5
403,False,>1101x11111.,"[13, 31]",>110010011,0,-1.1869486570358276,2,[403],1,403.0,True,False,0.0,0.0
403,False,>1101x11111.,"[13, 31]",>11x10000101,1,-2.431847095489502,2,"[3, 133]",2,399.0,False,False,1.0,0.5
405,False,>11x11x11x11x101.,"[3, 3, 3, 3, 5]",>110010101,0,-1.176350712776184,5,[405],1,405.0,True,False,0.0,0.0
405,False,>11x11x11x11x101.,"[3, 3, 3, 3, 5]",>11x10000111,1,-2.1527435779571533,5,"[3, 135]",2,405.0,True,False,1.0,0.5
406,False,>10x111x11101.,"[2, 7, 29]",>10x11001011,0,-1.0527414083480835,3,"[2, 203]",2,406.0,True,False,1.0,0.5
406,False,>10x111x11101.,"[2, 7, 29]",>10x11x10000101,1,-2.19146990776062,3,"[2, 3, 133]",3,798.0,False,False,2.0,0.6666666666666666
422,False,>10x11010011.,"[2, 211]",>10x11010011,0,-1.060744285583496,2,"[2, 211]",2,422.0,True,True,2.0,1.0
422,False,>10x11010011.,"[2, 211]",>10x11x10001101,1,-2.330921173095703,2,"[2, 3, 141]",3,846.0,False,False,2.0,0.6666666666666666
423,False,>11x11x101111.,"[3, 3, 47]",>110100111,0,-1.1522637605667114,3,[423],1,423.0,True,False,0.0,0.0
423,False,>11x11x101111.,"[3, 3, 47]",>11x10001101,1,-2.1414501667022705,3,"[3, 141]",2,423.0,True,False,1.0,0.5
428,False,>10x10x1101011.,"[2, 2, 107]",>10x10x1101011,0,-0.996414840221405,3,"[2, 2, 107]",3,428.0,True,True,3.0,1.0
428,False,>10x10x1101011.,"[2, 2, 107]",>10x10x11x10001,1,-2.468860149383545,3,"[2, 2, 3, 17]",4,204.0,False,False,4.0,1.0
443,True,>110111011.,[443],>110111011,0,-1.1940343379974365,1,[443],1,443.0,True,True,1.0,1.0
443,True,>110111011.,[443],>11x100100101,1,-2.3125598430633545,1,"[3, 293]",2,879.0,False,False,2.0,1.0
444,False,>10x10x11x100101.,"[2, 2, 3, 37]",>10x10x1101111,0,-0.9941216707229614,4,"[2, 2, 111]",3,444.0,True,False,2.0,0.6666666666666666
444,False,>10x10x11x100101.,"[2, 2, 3, 37]",>10x10x11x100101,1,-1.7837121486663818,4,"[2, 2, 3, 37]",4,444.0,True,True,4.0,1.0
448,False,>10x10x10x10x10x10x111.,"[2, 2, 2, 2, 2, 2, 7]",>10x10x10x10x10x10x111,0,-0.3562377393245697,7,"[2, 2, 2, 2, 2, 2, 7]",7,448.0,True,True,7.0,1.0
448,False,>10x10x10x10x10x10x111.,"[2, 2, 2, 2, 2, 2, 7]",>10x10x10x10x10x10x101,1,-3.034715414047241,7,"[2, 2, 2, 2, 2, 2, 5]",7,320.0,False,False,7.0,1.0
449,True,>111000001.,[449],>111000001,0,-1.1672192811965942,1,[449],1,449.0,True,True,1.0,1.0
449,True,>111000001.,[449],>11x10010111,1,-2.188532590866089,1,"[3, 151]",2,453.0,False,False,2.0,1.0
450,False,>10x11x11x101x101.,"[2, 3, 3, 5, 5]",>10x11100001,0,-1.0331037044525146,5,"[2, 225]",2,450.0,True,False,1.0,0.5
450,False,>10x11x11x101x101.,"[2, 3, 3, 5, 5]",>10x11x1001011,1,-2.0456387996673584,5,"[2, 3, 75]",3,450.0,True,False,2.0,0.6666666666666666
451,False,>1011x101001.,"[11, 41]",>111000011,0,-1.1477056741714478,2,[451],1,451.0,True,False,0.0,0.0
451,False,>1011x101001.,"[11, 41]",>11x10010101,1,-2.254976987838745,2,"[3, 149]",2,447.0,False,False,2.0,1.0
453,False,>11x10010111.,"[3, 151]",>111000101,0,-1.152230143547058,2,[453],1,453.0,True,False,0.0,0.0
453,False,>11x10010111.,"[3, 151]",>11x10010111,1,-2.216219186782837,2,"[3, 151]",2,453.0,True,True,2.0,1.0
456,False,>10x10x10x11x10011.,"[2, 2, 2, 3, 19]",>10x10x10x111001,0,-0.822344183921814,5,"[2, 2, 2, 57]",4,456.0,True,False,3.0,0.75
456,False,>10x10x10x11x10011.,"[2, 2, 2, 3, 19]",>10x10x10x11x10011,1,-1.955615758895874,5,"[2, 2, 2, 3, 19]",5,456.0,True,True,5.0,1.0
461,True,>111001101.,[461],>111001101,0,-1.1458066701889038,1,[461],1,461.0,True,True,1.0,1.0
461,True,>111001101.,[461],>11x10011011,1,-2.1682288646698,1,"[3, 155]",2,465.0,False,False,1.0,0.5
470,False,>10x101x101111.,"[2, 5, 47]",>10x11101011,0,-1.0029139518737793,3,"[2, 235]",2,470.0,True,False,1.0,0.5
470,False,>10x101x101111.,"[2, 5, 47]",>10x11x10011101,1,-2.5778608322143555,3,"[2, 3, 157]",3,942.0,False,False,3.0,1.0
473,False,>1011x101011.,"[11, 43]",>111011001,0,-1.1671342849731445,2,[473],1,473.0,True,False,0.0,0.0
473,False,>1011x101011.,"[11, 43]",>11x10011111,1,-2.1948447227478027,2,"[3, 159]",2,477.0,False,False,1.0,0.5
475,False,>101x101x10011.,"[5, 5, 19]",>111011011,0,-1.152111291885376,3,[475],1,475.0,True,False,0.0,0.0
475,False,>101x101x10011.,"[5, 5, 19]",>11x10011101,1,-2.106494188308716,3,"[3, 157]",2,471.0,False,False,2.0,1.0
476,False,>10x10x111x10001.,"[2, 2, 7, 17]",>10x10x1110111,0,-0.8887473940849304,4,"[2, 2, 119]",3,476.0,True,False,2.0,0.6666666666666666
476,False,>10x10x111x10001.,"[2, 2, 7, 17]",>10x10x11x1001101,1,-3.019955635070801,4,"[2, 2, 3, 77]",4,924.0,False,False,3.0,0.75
479,True,>111011111.,[479],>111011111,0,-1.1307405233383179,1,[479],1,479.0,True,True,1.0,1.0
479,True,>111011111.,[479],>11x10011101,1,-2.0635311603546143,1,"[3, 157]",2,471.0,False,False,2.0,1.0
480,False,>10x10x10x10x10x11x101.,"[2, 2, 2, 2, 2, 3, 5]",>10x10x10x10x10x1111,0,-0.4555678367614746,7,"[2, 2, 2, 2, 2, 15]",6,480.0,True,False,5.0,0.8333333333333334
480,False,>10x10x10x10x10x11x101.,"[2, 2, 2, 2, 2, 3, 5]",>10x10x10x10x10x11x101,1,-1.8659099340438843,7,"[2, 2, 2, 2, 2, 3, 5]",7,480.0,True,True,7.0,1.0
489,False,>11x10100011.,"[3, 163]",>111101001,0,-1.137805700302124,2,[489],1,489.0,True,False,0.0,0.0
489,False,>11x10100011.,"[3, 163]",>11x10100011,1,-2.1390442848205566,2,"[3, 163]",2,489.0,True,True,2.0,1.0
490,False,>10x101x111x111.,"[2, 5, 7, 7]",>10x11110101,0,-1.0099458694458008,4,"[2, 245]",2,490.0,True,False,1.0,0.5
